GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
41900315,1610612743,DEN,Denver,203924,Jerami Grant,,F,,45:37:00,7,18,0.389,2,8,0.25,4,4,1,0,9,9,1,1,1,1,4,20,-10
41900315,1610612743,DEN,Denver,200794,Paul Millsap,,F,,30:42:00,1,8,0.125,1,5,0.2,10,11,0.909,1,3,4,1,0,0,1,3,13,-8
41900315,1610612743,DEN,Denver,203999,Nikola Jokic,,C,,29:57:00,9,16,0.563,1,4,0.25,1,1,1,2,5,7,5,3,0,1,5,20,-1
41900315,1610612743,DEN,Denver,203914,Gary Harris,,G,,13:14,1,4,0.25,1,3,0.333,0,0,0,0,2,2,1,0,0,3,4,3,4
41900315,1610612743,DEN,Denver,1627750,Jamal Murray,,G,,43:05:00,7,17,0.412,0,4,0,5,5,1,2,2,4,8,1,0,5,3,19,-10
41900315,1610612743,DEN,Denver,1628420,Monte Morris,,,,28:01:00,4,9,0.444,0,1,0,2,2,1,0,2,2,7,0,0,0,1,10,-10
41900315,1610612743,DEN,Denver,203486,Mason Plumlee,,,,18:03,3,7,0.429,0,0,0,1,1,1,4,1,5,0,0,0,0,2,7,-9
41900315,1610612743,DEN,Denver,1629008,Michael Porter Jr.,,,,17:07,4,7,0.571,2,4,0.5,0,2,0,0,2,2,0,0,0,0,2,10,1
41900315,1610612743,DEN,Denver,1628470,Torrey Craig,,,,07:29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3
41900315,1610612743,DEN,Denver,1628408,PJ Dozier,,,,06:45,2,3,0.667,1,1,1,0,0,0,0,1,1,0,0,0,0,1,5,-4
41900315,1610612743,DEN,Denver,1628966,Keita Bates-Diop,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900315,1610612743,DEN,Denver,1629626,Bol Bol,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900315,1610612743,DEN,Denver,203584,Troy Daniels,,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
41900315,1610612747,LAL,Los Angeles,2544,LeBron James,,F,,40:01:00,15,25,0.6,1,4,0.25,7,8,0.875,3,13,16,10,1,0,2,2,38,12
41900315,1610612747,LAL,Los Angeles,203076,Anthony Davis,,F,,34:43:00,8,16,0.5,2,4,0.5,9,9,1,0,5,5,3,2,1,1,3,27,-1
41900315,1610612747,LAL,Los Angeles,2730,Dwight Howard,,C,,35:08:00,3,4,0.75,0,0,0,3,6,0.5,2,7,9,0,0,2,2,5,9,12
41900315,1610612747,LAL,Los Angeles,201980,Danny Green,,G,,28:06:00,3,7,0.429,2,4,0.5,3,4,0.75,0,0,0,2,0,2,0,1,11,6
41900315,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,,G,,26:22:00,1,2,0.5,0,1,0,0,0,0,0,1,1,0,2,0,1,5,2,5
